время;T
13.03.2017 23:00;0.8
13.03.2017 20:00;1.3
13.03.2017 17:00;2.3
13.03.2017 14:00;1.9
13.03.2017 11:00;-2.6
13.03.2017 08:00;-4.7
13.03.2017 05:00;-4.1
13.03.2017 02:00;-3.4
12.03.2017 23:00;-2.1
12.03.2017 20:00;-1.2
12.03.2017 17:00;-2.0
12.03.2017 14:00;-3.7
12.03.2017 11:00;-4.0
12.03.2017 08:00;-4.1
12.03.2017 05:00;-3.3
12.03.2017 02:00;-2.6
11.03.2017 23:00;-3.4
11.03.2017 20:00;-3.0
11.03.2017 17:00;0.7
11.03.2017 14:00;0.2
11.03.2017 11:00;-4.8
11.03.2017 08:00;-7.6
11.03.2017 05:00;-5.9
11.03.2017 02:00;-4.3
10.03.2017 23:00;-3.4
10.03.2017 20:00;-1.6
10.03.2017 17:00;0.3
10.03.2017 14:00;-1.4
10.03.2017 11:00;-5.3
10.03.2017 08:00;-7.6
10.03.2017 05:00;-8.1
10.03.2017 02:00;-6.7
09.03.2017 23:00;-5.5
09.03.2017 20:00;-3.5
09.03.2017 17:00;1.4
09.03.2017 14:00;0.1
09.03.2017 11:00;-3.3
09.03.2017 08:00;-14.6
09.03.2017 05:00;-13.7
09.03.2017 02:00;-11.7
08.03.2017 23:00;-9.9
08.03.2017 20:00;-5.9
08.03.2017 17:00;-1.2
08.03.2017 14:00;-1.8
08.03.2017 11:00;-3.9
08.03.2017 08:00;-5.4
08.03.2017 05:00;-4.6
08.03.2017 02:00;-4.4
07.03.2017 23:00;-4.6
07.03.2017 20:00;-5.2
07.03.2017 17:00;-5.4
07.03.2017 14:00;-5.4
07.03.2017 11:00;-4.5
07.03.2017 08:00;-4.0
07.03.2017 05:00;-2.3
07.03.2017 02:00;0.2
06.03.2017 23:00;0.6
06.03.2017 20:00;0.2
06.03.2017 17:00;0.3
06.03.2017 14:00;0.6
06.03.2017 11:00;-0.3
06.03.2017 08:00;-0.3
06.03.2017 05:00;-1.4
06.03.2017 02:00;-1.5
05.03.2017 23:00;-1.9
05.03.2017 20:00;-1.1
05.03.2017 17:00;0.9
05.03.2017 14:00;-0.2
05.03.2017 11:00;-1.2
05.03.2017 08:00;-1.9
05.03.2017 05:00;-1.5
05.03.2017 02:00;-1.3
04.03.2017 23:00;-1.0
04.03.2017 20:00;-0.8
04.03.2017 17:00;-0.2
04.03.2017 14:00;-0.3
04.03.2017 11:00;-1.1
04.03.2017 08:00;-2.4
04.03.2017 05:00;-1.9
04.03.2017 02:00;-1.0
03.03.2017 23:00;-0.5
03.03.2017 20:00;-0.6
03.03.2017 17:00;-0.8
03.03.2017 14:00;-1.7
03.03.2017 11:00;-2.0
03.03.2017 08:00;-2.6
03.03.2017 05:00;-2.3
03.03.2017 02:00;-1.7
02.03.2017 23:00;-1.0
02.03.2017 20:00;-1.1
02.03.2017 17:00;-1.2
02.03.2017 14:00;-1.4
02.03.2017 11:00;-2.5
02.03.2017 08:00;-3.5
02.03.2017 05:00;-4.2
02.03.2017 02:00;-4.6
01.03.2017 23:00;-4.8
01.03.2017 20:00;-3.8
01.03.2017 17:00;-2.4
01.03.2017 14:00;-2.2
01.03.2017 11:00;-6.8
01.03.2017 08:00;-11.1
01.03.2017 05:00;-8.0
01.03.2017 02:00;-8.0
